code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
PTD015	semistructured-interview	00:48:55	4	TOR001;TOI072;TOI073;TOI074	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTD012	semistructured-interview	01:55:04	2	TOR001;TOI068	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTD016	semistructured-interview	00:55:23	3	TOR004;TOI076;TOI077	italian;dialect	TO	fixed	yes	asymmetric	2019	yes
PTB019	semistructured-interview	00:43:39	3	TOR009;TOI071;TOI080	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTD008	semistructured-interview	00:31:09	3	TOR001;TOI058;TOI059	italian	TO	fixed	yes	asymmetric	2019	yes
PTD004	semistructured-interview	01:15:14	4	TOR001;TOI042;TOI043;TOI044	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTD017	semistructured-interview	00:38:22	2	TOR001;TOI078	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTB026	semistructured-interview	01:07:53	3	TOR002;TOI118;TOI119	italian;dialect	TO	fixed	yes	asymmetric	2019	no
TOD2001	semistructured-interview	00:22:04	2	TO999;TO082	italian	TO	fixed	yes	symmetric	2018	no
TOD2002	semistructured-interview	00:16:33	2	TO999;TO081	italian	TO	fixed	yes	symmetric	2018	yes
TOD2003	semistructured-interview	00:18:18	2	TO999;TO083	italian	TO	fixed	yes	symmetric	2018	no
TOD2004	semistructured-interview	00:11:02	2	TO999;TO084	italian	TO	fixed	yes	symmetric	2018	no
TOD2005	semistructured-interview	00:31:41	2	TO055;TO041	italian	TO	fixed	yes	symmetric	2018	no
TOD2006	semistructured-interview	00:13:19	2	TO999;TO042	italian	TO	fixed	yes	symmetric	2018	no
TOD2007	semistructured-interview	00:30:21	2	TO055;TO043	italian	TO	fixed	yes	symmetric	2018	no
TOD2008	semistructured-interview	00:29:54	2	TO055;TO044	italian	TO	fixed	yes	symmetric	2018	no
TOD2009	semistructured-interview	00:30:27	2	TO055;TO045	italian	TO	fixed	yes	symmetric	2018	no
TOD2010	semistructured-interview	00:29:10	2	TO055;TO046	italian	TO	fixed	yes	symmetric	2018	yes
TOD2011	semistructured-interview	00:31:38	2	TO055;TO047	italian	TO	fixed	yes	symmetric	2018	no
TOD2012	semistructured-interview	00:45:32	2	TO071;TO056	italian	TO	fixed	yes	symmetric	2019	no
TOD2013	semistructured-interview	01:08:28	3	TO071;TO057;TO058	italian	TO	fixed	yes	symmetric	2019	yes
TOD2014	semistructured-interview	00:27:40	3	TO071;TO059;TO060	italian	TO	fixed	yes	symmetric	2019	yes
TOD2015	semistructured-interview	00:30:52	2	TO071;TO073	italian	TO	fixed	yes	symmetric	2019	yes
TOD2016	semistructured-interview	00:30:39	2	TO071;TO080	italian	TO	fixed	yes	symmetric	2019	no
